Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
42,https://www.pepper.pl/promocje/meskie-buty-timberland-euro-trekker-za-269-zl-r-40-475-at-zalando-684395,Męskie buty Timberland EURO TREKKER za 269 zł - r. 40 - 47.5 @Zalando,"['Home', 'Moda', 'Obuwie', 'Obuwie męskie']",422,27,269zł,"427,49zł",-37%,Zalando
43,https://www.pepper.pl/promocje/bricks-breaker-pro-za-darmo-w-google-play-684416,Bricks Breaker Pro za darmo w Google Play,"['Home', 'Elektronika', 'Oprogramowanie i aplikacje', 'Oprogramowanie', 'Systemy operacyjne', 'Android']",448,35,ZA DARMO,"19,99zł",-1,Google Play
44,https://www.pepper.pl/promocje/kolumna-elac-debut-20-f52-czarny-cena-za-1-szt-at-media-markt-684187,Kolumna ELAC Debut 2.0 F5.2 Czarny - cena za 1 szt. @ Media Markt,"['Home', 'Elektronika', 'Audio i HiFi', 'Głośniki']",350,18,849zł,1.128zł,-25%,MediaMarkt
45,https://www.pepper.pl/promocje/wklady-filtrujacy-brita-maxtra-pure-performance-6-szt-at-morele-684168,Wkłady filtrujący Brita Maxtra+ Pure Performance 6 szt. @ Morele,"['Home', 'Dom i mieszkanie', 'Małe AGD do kuchni', 'Filtry do wody', 'Brita']",348,36,89zł,99zł,-10%,Morele.net
46,https://www.pepper.pl/promocje/wyprzedaz-odziezy-sportowej-glownie-dzieciecej-684455,Wyprzedaż odzieży sportowej (głównie dziecięcej),"['Home', 'Moda', 'Odzież', 'Ubrania dla dzieci']",769,11,25zł,149zł,-83%,Vita-Sport
47,https://www.pepper.pl/promocje/sluchawki-soundcore-anker-life-q35-684252,Słuchawki Soundcore Anker Life Q35 niebieskie lub czarne (Q30 - 297 zł),"['Home', 'Elektronika', 'Audio i HiFi', 'Słuchawki']",313,23,367zł,475zł,-23%,Amazon.fr
48,https://www.pepper.pl/promocje/przenosny-monitor-14-fullhd-100-srgb-400cd-79-684427,"Przenośny monitor 14"" FullHD, 100% sRGB, 400cd $79.72","['Home', 'Elektronika', 'Komputery i tablety', 'Monitory']",539,63,330zł,-1,-1,AliExpress
49,https://www.pepper.pl/promocje/endorfy-supremo-fm5-750w-80-plus-gold-x-kom-goracy-strzal-684417,ENDORFY Supremo FM5 750W 80 Plus Gold x-kom Gorący Strzał,"['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'Zasilacze']",446,76,379zł,499zł,-24%,x-kom
50,https://www.pepper.pl/promocje/kosz-na-pranie-z-wyjmowanymi-materialowymi-4-pojemnikami-po-35-l-at-amazon-684380,"Kosz na pranie z wyjmowanymi, materiałowymi 4 pojemnikami po 35 l @ Amazon","['Home', 'Dom i mieszkanie']",397,8,"106,99zł","136,99zł",-22%,Amazon.pl
51,https://www.pepper.pl/promocje/zestaw-gamingowy-philips-hue-tasma-led-2m-dwie-lampy-play-mostek-bridge-20-za-666-zl-drugi-zestaw-w-opisie-at-x-kom-684444,Zestaw gamingowy Philips Hue Taśma LED 2m + dwie lampy Play + mostek Bridge 2.0 za 666 zł – drugi zestaw w opisie @ x-kom,"['Home', 'Elektronika', 'Inteligentny dom', 'Inteligentne oświetlenie', 'Philips Hue']",538,92,666zł,1.100zł,-39%,x-kom
